USD,AUD,Australian Dollar,1.352,2/1/2019,8:04:05,,
USD,CAD,Canadian Dollar,1.2937,2/1/2019,8:04:05,,
USD,CHF,Swiss Franc,0.9775,2/1/2019,8:04:05,,
USD,HUF,Hungarian Forint,269.21,2/1/2019,8:04:05,,
USD,CZK,Czech Koruna,21.952,2/1/2019,8:04:05,,
USD,DKK,Danish Kroner,6.3934,2/1/2019,8:04:05,,
USD,EUR,Euro,0.8566,2/1/2019,8:04:05,,
USD,FJD,Fiji Dollar,2.0344,2/1/2019,8:04:05,,
USD,GBP,British Pound,0.7501,2/1/2019,8:04:05,,
USD,HKD,Hong Kong Dollar,7.7089,2/1/2019,8:04:05,,
USD,MYR,Malaysian Ringgit,3.9298,2/1/2019,8:04:05,,
USD,JPY,Japanese Yen,106.94,2/1/2019,8:04:05,,
USD,MXN,Mexican Peso,18.74184,2/1/2019,8:04:05,,
USD,NOK,Norwegian Kroner,8.274,2/1/2019,8:04:05,,
USD,NZD,New Zealand Dollar,1.4227,2/1/2019,8:04:05,,
USD,SEK,Swedish Kronor,8.8827,2/1/2019,8:04:05,,
USD,SGD,Singapore Dollar,1.322,2/1/2019,8:04:05,,
USD,THB,Thai Baht,30.68,2/1/2019,8:04:05,,
USD,TND,Tunisian Dinar,2.9221,2/1/2019,8:04:05,,
USD,XPF,Central Polynesian Franc,100.1204,2/1/2019,8:04:05,,
USD,ZAR,South African Rand,13.0224,2/1/2019,8:04:05,,
USD,CNY,Chinese Renminbi Yuan,6.3896,2/1/2019,8:04:05,,
USD,BWP,Botswana Pula,9.9229,2/1/2019,8:04:05,,
USD,MRU,Mauritanian Ouguiya,34.75,2/1/2019,8:04:05,,
USD,MVR,Maldives Rufiyaa,14.77,2/1/2019,8:04:05,,
USD,MWK,Malawi Kwacha,691.15,2/1/2019,8:04:05,,
USD,ECS,Ecuadorian Sucre,24526,2/1/2019,8:04:05,,
USD,EGP,Egyptian Pound,16.95478,2/1/2019,8:04:05,,
USD,IDR,Indonesian Rupiah,13620,2/1/2019,8:04:05,,
USD,ILS,Israeli Shekel,3.5618,2/1/2019,8:04:05,,
USD,INR,Indian Rupee,69.06,2/1/2019,8:04:05,,
USD,ISK,Iceland Krona,111.97,2/1/2019,8:04:05,,
USD,ALL,Albanian Lek,101.26,2/1/2019,8:04:05,,
USD,KRW,South Korean Won,1067.1,2/1/2019,8:04:05,,
USD,MAD,Moroccan Dirham,9.2501,2/1/2019,8:04:05,,
USD,AMD,Armenian Dram,467.08,2/1/2019,8:04:05,,
USD,SCR,Seychelles Rupee,12.6349,2/1/2019,8:04:05,,
USD,ANG,Netherlands Antilles Guilder,1.6915,2/1/2019,8:04:05,,
USD,AED,Utd. Arab Emir. Dirham,3.5992,2/1/2019,8:04:05,,
USD,SAR,Saudi Riyal,3.666,2/1/2019,8:04:05,,
USD,MUR,Mauritius Rupee,32.98,2/1/2019,8:04:05,,
USD,TRY,Turkish New Lira,5.0386,2/1/2019,8:04:05,,
USD,AOA,Angola Kwanza,288.6341,2/1/2019,8:04:05,,
USD,ARS,Argentine Peso,35.1708,2/1/2019,8:04:05,,
USD,AWG,Aruba Guilder,1.7182,2/1/2019,8:04:05,,
USD,AZN,Azerbaijan Manat,1.6142,2/1/2019,8:04:05,,
