USD,OMR,Omani Rial,0.37556,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PKR,Pakistan Rupee,160.5585,9/1/2020,8:05:33,,,,,,,,,,,,
USD,CDF,Congolese Franc,1728.41,9/1/2020,8:05:33,,,,,,,,,,,,
USD,COP,Colombian Peso,3568.91,9/1/2020,8:05:33,,,,,,,,,,,,
USD,CRC,Costa Rican Colon,571.37,9/1/2020,8:05:33,,,,,,,,,,,,
USD,QAR,Qatari Rial,3.5619,9/1/2020,8:05:33,,,,,,,,,,,,
USD,CUP,Cuban Peso,0.986,9/1/2020,8:05:33,,,,,,,,,,,,
USD,CVE,Cape Verde Escaudo,87.94,9/1/2020,8:05:33,,,,,,,,,,,,
USD,DJF,Djibouti Franc,169,9/1/2020,8:05:33,,,,,,,,,,,,
USD,DOP,Dominican Peso,55.82,9/1/2020,8:05:33,,,,,,,,,,,,
USD,DZD,Algerian Dinar,123.01,9/1/2020,8:05:33,,,,,,,,,,,,
USD,ERN,Eritrea Nakfa,13.94,9/1/2020,8:05:33,,,,,,,,,,,,
USD,JOD,Jordanian Dinar,0.6862,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KES,Kenyan Shilling,106.15,9/1/2020,8:05:33,,,,,,,,,,,,
USD,ETB,Ethiopia Birr,35.0381,9/1/2020,8:05:33,,,,,,,,,,,,
USD,GEL,Georgian Lari,2.9311,9/1/2020,8:05:33,,,,,,,,,,,,
USD,GMD,Gambian Dalasi,47.65,9/1/2020,8:05:33,,,,,,,,,,,,
USD,GNF,Guinea Republic Franc,9126.7,9/1/2020,8:05:33,,,,,,,,,,,,
USD,GTQ,Guatemalan Quetzal,7.3592,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PHP,Philippine Peso,47.2152,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PLN,Polish Zloty,3.6113,9/1/2020,8:05:33,,,,,,,,,,,,
USD,GYD,Guyana Dollar,202,9/1/2020,8:05:33,,,,,,,,,,,,
USD,HNL,Honduras Lempira,23.834,9/1/2020,8:05:33,,,,,,,,,,,,
USD,HRK,Croatian Kuna,6.0718,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SYP,Syrian Pound,1238.416,9/1/2020,8:05:33,,,,,,,,,,,,
USD,HTG,Haitian Gourde,104.995,9/1/2020,8:05:33,,,,,,,,,,,,
USD,IRR,Iranian Rial,41412,9/1/2020,8:05:33,,,,,,,,,,,,
USD,JMD,Jamaican Dollar,141.625,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KGS,Kyrgyzstan Som,74.513,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KHR,Cambodia Riel,3828,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KMF,Comoros Frans,402.7,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KPW,North Korean Won,128.18,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KYD,Cayman Island Dollar,0.7857,9/1/2020,8:05:33,,,,,,,,,,,,
USD,KZT,Kazakhstan Tenge,403.01,9/1/2020,8:05:33,,,,,,,,,,,,
USD,LAK,Laos Kip,8677,9/1/2020,8:05:33,,,,,,,,,,,,
USD,LBP,Lebanese Pound,1465.07,9/1/2020,8:05:33,,,,,,,,,,,,
USD,LKR,Sri Lanka Rupee,181.62,9/1/2020,8:05:33,,,,,,,,,,,,
USD,LSL,Lesotho Malati,15.909,9/1/2020,8:05:33,,,,,,,,,,,,
USD,LYD,Libyan Dinar,1.2729,9/1/2020,8:05:33,,,,,,,,,,,,
USD,MDL,Moldovan Leu,15.7492,9/1/2020,8:05:33,,,,,,,,,,,,
USD,MGA,Madagascar Ariary,3634.78,9/1/2020,8:05:33,,,,,,,,,,,,
USD,MKD,Macedonia Denar,47.92,9/1/2020,8:05:33,,,,,,,,,,,,
USD,MMK,Myanmar Kyat,1273.8285,9/1/2020,8:05:33,,,,,,,,,,,,
USD,MOP,Macau Pataca,7.6045,9/1/2020,8:05:33,,,,,,,,,,,,
USD,NAD,Namibian Dollar,16.3517,9/1/2020,8:05:33,,,,,,,,,,,,
USD,NGN,Nigerian Naira,368.77,9/1/2020,8:05:33,,,,,,,,,,,,
USD,NIO,Nicaraguan Cordoba,32.74,9/1/2020,8:05:33,,,,,,,,,,,,
USD,NPR,Nepalese Rupee,112.99,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PEN,Peruvian Nuevo Sol,3.4152,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PGK,Papua New Guinea Kina,3.3516,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PYG,Paraguay Guarani,6594.9,9/1/2020,8:05:33,,,,,,,,,,,,
USD,RON,Romanian Leu,3.9584,9/1/2020,8:05:33,,,,,,,,,,,,
USD,RUB,Russian Rouble,70.599,9/1/2020,8:05:33,,,,,,,,,,,,
USD,RWF,Rwandan Franc,928.292,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SBD,Solomon Islands Dollar,7.6489,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SHP,St. Helena Pound,0.7201,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SLL,Sierra Leone Leone,9022,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SOS,Somali Shilling,566.9,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SRD,Suriname Dollar,7.0701,9/1/2020,8:05:33,,,,,,,,,,,,
USD,STN,Sao Tomean Dobra,19.7,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SZL,Swaziland Lilangeni,16.1465,9/1/2020,8:05:33,,,,,,,,,,,,
USD,TOP,Tongan Pa anga,2.1357,9/1/2020,8:05:33,,,,,,,,,,,,
USD,TTD,Trinidad and Tobago Dollar,6.5213,9/1/2020,8:05:33,,,,,,,,,,,,
USD,TWD,Taiwanese Dollar,28.174,9/1/2020,8:05:33,,,,,,,,,,,,
USD,TZS,Tanzanian Shilling,2258,9/1/2020,8:05:33,,,,,,,,,,,,
USD,UGX,Ugandan Shilling,3604.14,9/1/2020,8:05:33,,,,,,,,,,,,
USD,UYU,Uruguayan Nuevo Peso,40.709,9/1/2020,8:05:33,,,,,,,,,,,,
USD,UZS,Uzbekistan Sum,9764.26,9/1/2020,8:05:33,,,,,,,,,,,,
USD,VND,Vietnamese Dong,22605,9/1/2020,8:05:33,,,,,,,,,,,,
USD,VUV,Vanuatu Vatu,106.76,9/1/2020,8:05:33,,,,,,,,,,,,
USD,WST,Samoan Tala,2.475,9/1/2020,8:05:33,,,,,,,,,,,,
USD,XAF,CFA Franc,520.17,9/1/2020,8:05:33,,,,,,,,,,,,
USD,XCD,East Caribbean Dollar,2.5904,9/1/2020,8:05:33,,,,,,,,,,,,
USD,XOF,CFA Franc BCEAO,539.09,9/1/2020,8:05:33,,,,,,,,,,,,
USD,YER,Yemeni Rial,234.82,9/1/2020,8:05:33,,,,,,,,,,,,
USD,SVC,El Salvadorian Colon,8.558,9/1/2020,8:05:33,,,,,,,,,,,,
USD,PAB,Panamanian Balboa,0.9545,9/1/2020,8:05:33,,,,,,,,,,,,
USD,MZN,Mozambique New Metical,66.49,9/1/2020,8:05:33,,,,,,,,,,,,
USD,GHS,Ghanian Cedi,5.4641,9/1/2020,8:05:33,,,,,,,,,,,,
USD,VEF,Venezuelan Bolivar Fuerte,244734.983,9/1/2020,8:05:33,,,,,,,,,,,,
