USD,TZS,Tanzanian Shilling,2593,6/1/2025,8:00:27,,,
USD,UGX,Ugandan Shilling,3512.46,6/1/2025,8:00:27,,,
USD,UYU,Uruguayan Nuevo Peso,39.472,6/1/2025,8:00:27,,,
USD,UZS,Uzbekistan Sum,12177.29,6/1/2025,8:00:27,,,
USD,TWD,Taiwanese Dollar,28.128,6/1/2025,8:00:27,,,
USD,TTD,Trinidad and Tobago Dollar,6.5199,6/1/2025,8:00:27,,,
USD,TRY,Turkish New Lira,37.1638,6/1/2025,8:00:27,,,
USD,TOP,Tongan Pa anga,2.2253,6/1/2025,8:00:27,,,
USD,TND,Tunisian Dinar,2.8567,6/1/2025,8:00:27,,,
USD,THB,Thai Baht,32.1,6/1/2025,8:00:27,,,
USD,SZL,Swaziland Lilangeni,17.2772,6/1/2025,8:00:27,,,
USD,SYP,Syrian Pound,12967.3699,6/1/2025,8:00:27,,,
USD,SVC,El Salvadorian Colon,8.727,6/1/2025,8:00:27,,,
USD,STN,Sao Tomean Dobra,20.9,6/1/2025,8:00:27,,,
USD,SRD,Suriname Dollar,34.6803,6/1/2025,8:00:27,,,
USD,SOS,Somali Shilling,566.5,6/1/2025,8:00:27,,,
USD,SHP,St. Helena Pound,0.7084,6/1/2025,8:00:27,,,
USD,SGD,Singapore Dollar,1.2628,6/1/2025,8:00:27,,,
USD,SEK,Swedish Kronor,9.3749,6/1/2025,8:00:27,,,
USD,SCR,Seychelles Rupee,13.3631,6/1/2025,8:00:27,,,
USD,SBD,Solomon Islands Dollar,7.882,6/1/2025,8:00:27,,,
USD,SAR,Saudi Riyal,3.6554,6/1/2025,8:00:27,,,
USD,RWF,Rwandan Franc,1347.801,6/1/2025,8:00:27,,,
USD,RSD,Serbian Dinar,98.148,6/1/2025,8:00:27,,,
USD,RON,Romanian Leu,4.337,6/1/2025,8:00:27,,,
USD,QAR,Qatari Rial,3.5401,6/1/2025,8:00:27,,,
USD,PYG,Paraguay Guarani,7582.3,6/1/2025,8:00:27,,,
USD,PLN,Polish Zloty,3.6478,6/1/2025,8:00:27,,,
USD,PKR,Pakistan Rupee,273.6394,6/1/2025,8:00:27,,,
USD,PHP,Philippine Peso,54.1472,6/1/2025,8:00:27,,,
USD,PGK,Papua New Guinea Kina,3.8119,6/1/2025,8:00:27,,,
USD,PEN,Peruvian Nuevo Sol,3.4821,6/1/2025,8:00:27,,,
USD,PAB,Panamanian Balboa,0.9504,6/1/2025,8:00:27,,,
USD,OMR,Omani Rial,0.3749,6/1/2025,8:00:27,,,
USD,NZD,New Zealand Dollar,1.643,6/1/2025,8:00:27,,,
USD,NPR,Nepalese Rupee,130.8,6/1/2025,8:00:27,,,
USD,NOK,Norwegian Kroner,9.981,6/1/2025,8:00:27,,,
USD,NIO,Nicaraguan Cordoba,34.81,6/1/2025,8:00:27,,,
USD,NGN,Nigerian Naira,1471.82,6/1/2025,8:00:27,,,
USD,NAD,Namibian Dollar,17.5142,6/1/2025,8:00:27,,,
USD,ZMW,Zambia Kwacha,24.6851,6/1/2025,8:00:27,,,
USD,ZAR,South African Rand,17.5533,6/1/2025,8:00:27,,,
USD,YER,Yemeni Rial,230.9,6/1/2025,8:00:27,,,
USD,XPF,Central Polynesian Franc,101.0325,6/1/2025,8:00:27,,,
USD,XOF,CFA Franc BCEAO,561.93,6/1/2025,8:00:27,,,
USD,XCD,East Caribbean Dollar,2.5699,6/1/2025,8:00:27,,,
USD,XAF,CFA Franc,547.67,6/1/2025,8:00:27,,,
USD,WST,Samoan Tala,2.5973,6/1/2025,8:00:27,,,
USD,VUV,Vanuatu Vatu,115.41,6/1/2025,8:00:27,,,
USD,VND,Vietnamese Dong,25274,6/1/2025,8:00:27,,,
USD,MZN,Mozambique New Metical,60.26,6/1/2025,8:00:27,,,
USD,MYR,Malaysian Ringgit,4.0693,6/1/2025,8:00:27,,,
USD,MXN,Mexican Peso,18.89759,6/1/2025,8:00:27,,,
USD,MVR,Maldives Rufiyaa,14.73,6/1/2025,8:00:27,,,
USD,MUR,Mauritius Rupee,44.24,6/1/2025,8:00:27,,,
USD,MRU,Mauritanian Ouguiya,38.11,6/1/2025,8:00:27,,,
USD,MOP,Macau Pataca,7.676,6/1/2025,8:00:27,,,
USD,MKD,Macedonia Denar,50.07,6/1/2025,8:00:27,,,
USD,MGA,Madagascar Ariary,4308.85,6/1/2025,8:00:27,,,
USD,MDL,Moldovan Leu,16.6808,6/1/2025,8:00:27,,,
USD,MAD,Moroccan Dirham,8.941245,6/1/2025,8:00:27,,,
USD,LYD,Libyan Dinar,5.0174,6/1/2025,8:00:27,,,
USD,LSL,Lesotho Malati,17.0314,6/1/2025,8:00:27,,,
USD,LKR,Sri Lanka Rupee,285.15,6/1/2025,8:00:27,,,
USD,LBP,Lebanese Pound,86729.25,6/1/2025,8:00:27,,,
USD,LAK,Laos Kip,20459,6/1/2025,8:00:27,,,
USD,KZT,Kazakhstan Tenge,487.75,6/1/2025,8:00:27,,,
