USD,LAK,Laos Kip,7610,3/1/2017,8:03:15
USD,LBP,Lebanese Pound,1452.98,3/1/2017,8:03:15
USD,LKR,Sri Lanka Rupee,149.76,3/1/2017,8:03:15
USD,LSL,Lesotho Malati,10.8004,3/1/2017,8:03:15
USD,LYD,Libyan Dinar,1.3006,3/1/2017,8:03:15
USD,MDL,Moldovan Leu,16.3169,3/1/2017,8:03:15
USD,MGA,Madagascar Ariary,2939.96,3/1/2017,8:03:15
USD,MGF,Malagasy Franc,8967,3/1/2017,8:03:15
USD,MKD,Macedonia Denar,46.09,3/1/2017,8:03:15
USD,MMK,Myanmar Kyat,1311.24,3/1/2017,8:03:15
USD,MOP,Macau Pataca,7.5806,3/1/2017,8:03:15
USD,NAD,Namibian Dollar,11.3701,3/1/2017,8:03:15
USD,NGN,Nigerian Naira,290.04,3/1/2017,8:03:15
USD,NIO,Nicaraguan Cordoba,29.28,3/1/2017,8:03:15
USD,NPR,Nepalese Rupee,98.93,3/1/2017,8:03:15
USD,PEN,Peruvian Nuevo Sol,3.1076,3/1/2017,8:03:15
USD,PGK,Papua New Guinea Kina,2.9199,3/1/2017,8:03:15
USD,PYG,Paraguay Guarani,5242.5,3/1/2017,8:03:15
USD,RON,Romanian Leu,3.6838,3/1/2017,8:03:15
USD,RUB,Russian Rouble,53.117,3/1/2017,8:03:15
USD,RWF,Rwandan Franc,822.601,3/1/2017,8:03:15
USD,SBD,Solomon Islands Dollar,7.3662,3/1/2017,8:03:15
USD,SDD,Sudanese Dinar,196.01,3/1/2017,8:03:15
USD,SDP,Sudanese Pound,1984.9,3/1/2017,8:03:15
USD,SHP,St. Helena Pound,0.7048,3/1/2017,8:03:15
USD,SLL,Sierra Leone Leone,7108,3/1/2017,8:03:15
USD,SOS,Somali Shilling,563.5,3/1/2017,8:03:15
USD,SRD,Suriname Dollar,6.8322,3/1/2017,8:03:15
USD,SZL,Swaziland Lilangeni,11.2274,3/1/2017,8:03:15
USD,TMM,Turkmenistan Manat,13930.7,3/1/2017,8:03:15
USD,TOP,Tongan Pa anga,1.9919,3/1/2017,8:03:15
USD,TTD,Trinidad and Tobago Dollar,6.3538,3/1/2017,8:03:15
USD,TWD,Taiwanese Dollar,27.784,3/1/2017,8:03:15
